Cell name	numeric_P(Erythroid)	numeric_P(Granulocyte)	numeric_P(Lymphoid)	numeric_P(Dendritic cell)	numeric_P(Megakaryocyte)	numeric_P(Monocyte)	numeric_P(Basophil/Mast cell)	numeric_Total counts	numeric_Uniform	Louvain cluster	Library	Prep Batch	numeric_x	numeric_y
cell_2952	1.0	4.3698e-15	1.0098e-15	3.4438e-16	3.2191e-16	5.2286e-15	2.8249000000000004e-17	1551.0	0.0	8	3	4	81.94348000000001	-877.7093199999999
cell_2964	0.0016452	0.039632	0.004887699999999999	0.019137	0.00051392	0.9333100000000001	0.00087394	2991.0	0.0	2	3	4	589.46875	-170.56989
cell_2973	1.0	9.2634e-15	2.3628e-15	5.395500000000001e-16	9.8941e-16	5.0389e-15	4.1134e-17	2007.0	0.0	8	3	4	81.03183	-879.4579699999999
cell_2981	1.0	5.8901e-15	4.0549e-15	8.505299999999999e-17	6.9387e-17	5.1133000000000005e-15	2.1232e-17	1771.0	0.0	8	3	4	68.79515	-864.4137199999999
cell_2995	4.377e-06	8.4569e-06	0.9996	0.00038108	7.482800000000001e-07	5.2303e-06	8.206200000000002e-07	2174.0	0.0	10	3	4	422.3949	2.0424900000000004
cell_3001	0.0020055	0.047322	0.004485	0.040037	0.00073461	0.90448	0.00093717	2770.0	0.0	2	3	4	579.20684	-173.76734
cell_3009	1.248e-05	2.1561e-05	0.99941	0.00053182	3.7566e-06	1.5615999999999998e-05	3.9785e-06	2426.0	0.0	10	3	4	418.78643999999997	-13.606689999999999
cell_3035	1.0	2.1409e-15	6.4425e-16	8.0942e-16	2.419e-16	4.3872e-15	3.9483e-17	1901.0	0.0	8	3	4	79.97371	-877.6844800000001
cell_3050	0.06696	0.033095	0.029749	0.10128	0.69939	0.026593000000000002	0.042933	2301.0	0.0	6	3	4	320.06742	18.72472
cell_3069	3.1937e-06	3.8124e-06	0.99928	0.00071005	3.9219e-07	2.3315e-06	4.3358000000000005e-07	2124.0	0.0	10	3	4	418.00818	1.4926700000000002
cell_3086	9.9844e-06	1.9412e-05	0.99955	0.00041022	1.0459e-06	8.6774e-06	1.2727e-06	2026.0	0.0	10	3	4	423.15351	-17.78422
cell_3116	6.8635e-12	2.3563e-10	4.2109e-09	1.0	5.9821e-12	3.2174e-10	3.6152e-12	2352.0	0.0	11	3	4	484.98238	-94.94321
cell_3129	5.662e-06	6.9074e-06	0.99964	0.00033979	1.2861e-06	5.6286e-06	1.5291e-06	2004.0	0.0	10	3	4	418.80068	-2.72114
