Cell name	numeric_P(Erythroid)	numeric_P(Granulocyte)	numeric_P(Lymphoid)	numeric_P(Dendritic cell)	numeric_P(Megakaryocyte)	numeric_P(Monocyte)	numeric_P(Basophil/Mast cell)	numeric_Total counts	numeric_Uniform	Louvain cluster	Library	Prep Batch	numeric_x	numeric_y
cell_4258	9.3001e-06	8.4351e-06	0.9829100000000001	0.017063	1.2918e-06	5.8478999999999995e-06	1.7088999999999999e-06	1683.0	0.0	10	4	4	419.05602999999996	-11.91718
cell_4274	7.325699999999999e-17	1.0	3.2075999999999996e-16	1.4099000000000001e-18	0.0	8.946700000000001e-17	0.0	2553.0	0.0	3	4	4	556.34246	-884.49326
cell_4288	6.8937e-14	1.2372e-12	1.2982999999999998e-11	1.0	6.789299999999999e-14	4.2602e-12	3.3555e-14	1823.0	0.0	11	4	4	499.14185	-83.04934
cell_4295	1.0	1.5690999999999998e-15	1.4407e-15	3.8915e-16	3.6665e-16	4.7708e-15	0.0	1681.0	0.0	8	4	4	81.532	-879.70025
cell_4311	0.0013862	0.026062000000000002	0.002933	0.018321	0.00042438	0.95025	0.00062114	2081.0	0.0	2	4	4	611.6064299999999	-163.23873999999998
cell_4316	2.1045e-15	1.0	1.2793000000000001e-16	6.9187e-16	0.0	6.8163e-16	3.6145999999999996e-16	2317.0	0.0	3	4	4	566.46406	-876.5374099999999
cell_4318	1.0	3.4130000000000004e-15	1.0459e-15	2.7126e-15	1.2777999999999998e-15	1.7714999999999999e-15	1.6281e-15	1620.0	0.0	8	4	4	78.48569	-876.97051
cell_4321	1.0	5.205599999999999e-16	9.150299999999999e-17	2.4121999999999998e-17	8.787e-17	1.3791e-16	1.4858e-17	1717.0	0.0	8	4	4	83.17867	-877.5073800000001
cell_4324	2.6351e-06	2.7291000000000003e-06	0.99984	0.00015547	2.9698e-07	1.6694999999999999e-06	3.1766e-07	2063.0	0.0	10	4	4	416.68119	1.9226599999999998
cell_4327	7.1775e-10	2.9065e-08	1.6589e-07	1.0	1.0206e-09	3.0453999999999996e-08	4.1894e-10	1996.0	0.0	11	4	4	476.79715	-103.62741
cell_4340	5.173e-07	6.3856e-07	0.9999299999999999	7.2011e-05	7.0439e-08	4.3409e-07	7.8223e-08	1906.0	0.0	10	4	4	424.50292	15.35113
cell_4342	0.087869	0.045885	0.040514999999999995	0.12525999999999998	0.6066199999999999	0.036912	0.056935	1940.0	0.0	6	4	4	324.73058	-1.49976
cell_4347	0.0026184999999999997	0.064289	0.004599	0.039186	0.00085516	0.8872700000000001	0.0011853	2140.0	0.0	2	4	4	585.74109	-176.38978
cell_4367	1.4922e-06	1.8444999999999999e-06	0.9997299999999999	0.00026719	2.0756999999999997e-07	1.1398e-06	2.2767e-07	2154.0	0.0	10	4	4	417.19097	-3.0441599999999998
cell_4373	1.0	1.3861e-15	3.2036e-16	1.9848e-15	5.177299999999999e-16	1.4074000000000002e-15	1.7320999999999999e-15	1128.0	0.0	8	4	4	80.21094000000001	-877.0968
cell_4383	2.1741e-15	1.0	7.4712e-17	5.2427999999999996e-18	0.0	0.0	0.0	2033.0	0.0	3	4	4	556.26987	-891.3734199999999
cell_4397	1.0	1.0509999999999999e-14	3.0394999999999998e-15	6.6608e-16	8.9513e-16	6.012699999999999e-15	0.0	1370.0	0.0	8	4	4	73.48507	-870.3268
cell_4400	3.3722000000000002e-15	1.0	5.9246e-17	4.6533e-16	0.0	1.4727e-15	0.0	2079.0	0.0	3	4	4	557.80979	-887.0340199999999
cell_4416	3.4702e-16	1.0	0.0	5.0784e-18	4.5283e-18	1.2514000000000002e-15	5.492200000000001e-16	2006.0	0.0	3	4	4	560.36679	-883.50464
cell_4423	2.2043000000000002e-11	2.5856999999999997e-10	4.3866000000000005e-09	1.0	6.521600000000001e-11	2.8335e-10	1.31e-11	1684.0	0.0	11	4	4	478.62067	-97.3802
cell_4427	0.00043514	0.0015918	0.00021641	0.022765999999999998	4.0558e-05	0.9749	5.338e-05	1912.0	0.0	2	4	4	607.20079	-159.67356
cell_4466	9.775e-14	1.7025e-12	1.6479e-11	1.0	7.8597e-14	6.8459e-12	4.56e-14	1390.0	0.0	11	4	4	498.30742000000004	-84.70266
cell_4470	7.149e-15	1.0	8.254300000000001e-16	2.4899e-15	6.9501e-16	1.9296e-15	0.0	1558.0	0.0	3	4	4	560.51098	-890.7478
cell_4504	2.4085e-06	3.5693e-06	0.99971	0.00027941	3.3748000000000003e-07	2.2484999999999997e-06	3.7113e-07	1365.0	0.0	10	4	4	420.69426	8.7552
cell_4508	1.0955e-09	1.4501e-07	1.2710999999999998e-07	1.0	5.656e-10	7.5298e-08	5.4963e-10	1725.0	0.0	11	4	4	478.68482	-107.28907
cell_4531	2.7925e-16	1.0	8.9993e-18	2.8771e-18	0.0	2.6954e-16	0.0	1548.0	0.0	3	4	4	558.19372	-893.0029400000001
cell_4533	1.364e-07	8.7316e-08	0.9999899999999999	7.7548e-06	1.197e-08	5.605e-08	1.2223999999999999e-08	1105.0	0.0	10	4	4	415.0953	14.75237
cell_4537	2.7692e-16	1.0	0.0	1.9985e-17	6.211900000000001e-18	4.1992000000000003e-16	4.644e-16	1748.0	0.0	3	4	4	563.17522	-881.95395
cell_4540	0.031865	0.037519	0.0080713	0.011197	0.011188	0.010034999999999999	0.89013	975.0	0.0	6	4	4	204.5775	-6.00962
cell_4554	1.0	1.6123000000000002e-15	9.93e-16	2.2143e-16	1.4006e-16	2.8063000000000003e-15	3.9456999999999996e-17	1094.0	0.0	8	4	4	85.97575	-881.9441199999999
cell_4564	0.10425	0.051213999999999996	0.044691	0.12302	0.5684899999999999	0.041264	0.06707300000000001	1104.0	0.0	6	4	4	317.19951000000003	53.825230000000005
cell_4579	3.9195e-09	6.5592e-07	6.491599999999999e-07	1.0	2.0674999999999997e-09	2.8004999999999997e-07	1.9092e-09	1116.0	0.0	11	4	4	473.62657	-114.38283
cell_4597	5.4025e-16	1.0	1.6057000000000003e-17	6.0016e-17	0.0	2.1065e-16	0.0	1324.0	0.0	3	4	4	558.31506	-889.64352
cell_4601	0.047472	0.051534	0.011222	0.015621000000000001	0.015567	0.013796000000000001	0.8447899999999999	1332.0	0.0	6	4	4	208.97493	-6.36268
cell_4603	3.5582e-06	5.0535e-06	0.9998299999999999	0.00015382	4.2659999999999997e-07	2.7462e-06	5.1283e-07	1090.0	0.0	10	4	4	421.21784	1.6710900000000002
cell_4611	9.8833e-06	8.7216e-07	0.99992	7.0831e-05	3.8544000000000004e-07	5.6771e-07	3.7771e-07	1261.0	0.0	10	4	4	406.36933	-5.2070300000000005
cell_4632	5.0617e-06	8.342100000000001e-06	0.9995799999999999	0.00040046	9.070399999999999e-07	6.799199999999999e-06	9.811200000000001e-07	1069.0	0.0	10	4	4	419.28882000000004	0.5624399999999999
cell_4636	1.3341999999999999e-06	2.0953e-06	0.99979	0.00020941	1.9785e-07	1.4065e-06	2.2337e-07	1234.0	0.0	10	4	4	428.01949	13.6039
cell_4640	1.1297e-05	2.1279e-05	0.99871	0.0012433	1.5701e-06	1.3992000000000001e-05	1.7681e-06	1143.0	0.0	10	4	4	426.6624	-6.914110000000001
cell_4648	6.9822000000000005e-15	1.0	7.7043e-16	2.0821999999999998e-15	5.9739e-16	1.7605999999999999e-15	0.0	1393.0	0.0	3	4	4	559.34317	-892.8597599999999
cell_4652	0.0012732000000000002	0.024975	0.006728399999999999	0.026483	0.00042137	0.9394600000000001	0.00066447	926.0	0.0	2	4	4	591.51406	-167.51363
cell_4653	0.0015113	0.026133999999999998	0.0030749	0.034985	0.00040869	0.9333100000000001	0.00057441	1165.0	0.0	2	4	4	592.92379	-168.56636
cell_4659	0.046929000000000005	0.050975	0.01114	0.015512	0.015463	0.013669	0.84631	953.0	0.0	6	4	4	209.33979	-4.90562
cell_4662	1.0873e-06	1.5062999999999999e-06	0.9998600000000001	0.00013700000000000002	1.4793e-07	9.295299999999999e-07	1.6212e-07	1031.0	0.0	10	4	4	419.8156	11.17084
cell_4673	1.0	1.0284e-14	1.6119e-15	6.2227e-16	5.000200000000001e-16	5.856100000000001e-15	5.5430999999999994e-18	843.0	0.0	8	4	4	75.32231999999999	-872.40881
cell_4677	1.0	1.7259e-14	1.6094999999999998e-15	9.1044e-16	3.7827000000000003e-16	7.551e-15	4.3801999999999995e-17	811.0	0.0	8	4	4	65.17756	-861.419
cell_4702	1.907e-07	1.0741e-07	0.9999899999999999	1.0179e-05	1.6238e-08	7.052399999999999e-08	1.6156e-08	816.0	0.0	10	4	4	413.11	15.12655
cell_4714	0.043045	0.055702999999999996	0.01127	0.015590999999999999	0.015466999999999998	0.01402	0.8449	880.0000000000001	0.0	6	4	4	183.6622	18.47334
cell_4716	0.00057078	0.009293700000000002	0.00091852	0.014650999999999999	0.00017781	0.97411	0.00028052	1035.0	0.0	2	4	4	583.67143	-169.38176
cell_4719	0.0024136	0.030331999999999998	0.0038525	0.023825	0.00085836	0.9376899999999999	0.0010265	890.0	0.0	2	4	4	580.90947	-167.11158999999998
cell_4721	0.0042305	0.062423	0.0040668	0.031901	0.00089183	0.89528	0.0012029000000000002	957.0	0.0	2	4	4	597.82527	-172.01145
cell_4733	1.186e-13	2.4349e-12	2.3447e-11	1.0	8.853600000000001e-14	8.283999999999998e-12	5.4251999999999996e-14	861.9999999999999	0.0	11	4	4	494.33175	-85.51668000000001
cell_4742	7.681100000000001e-07	1.0846e-06	0.9999	9.429299999999999e-05	1.2447e-07	7.826600000000001e-07	1.3674000000000002e-07	816.0	0.0	10	4	4	423.32369000000006	11.839939999999999
cell_4743	0.0013333	0.022404	0.0021438000000000004	0.039761000000000005	0.0006468	0.93295	0.00076242	697.0	0.0	2	4	4	580.87098	-157.78108
cell_4747	3.4637999999999998e-06	5.9415e-06	0.9996799999999999	0.00030615	4.7361e-07	3.6883999999999997e-06	5.336e-07	749.0	0.0	10	4	4	424.03646	4.02135
