Louvain cluster,2,2,2,2,2,8,8,2,8,10,8,8,11,8,10,8,3,8,2,3,10,10,11,2,10,10,10,11,8,2,11,3,11,3,10,11,8,3,10,10,8,10,3,10,10,6,3,11,3,8,10,2,2,2,2,2,2,2,2,2,8,2,2,8,2,10,2,2,2,2,2,2,2,10,10,10,3,10,6,10,8,3,10,11,10,2,11,6,8,2,10,3,8,8,8,10,10,6,8,10,8,3,6,10,10,8,8,3,11,10,8,6,3,11,8,10,10,10,10,11,10,10,6,10,10,2,3,3,10,11,11,11,8,8,8,11,11,8,6,10,10,3,10,11,8,11,11,10,11,10,10,3,3,3,6,3,6,3,8,10,11,3,10,11,3,6,11,10,8,10,10,3,3,10,2,2,2,2,8,2,2,2,2,2,2,3,8,2,8,8,10,2,10,8,6,10,10,11,10,10,10,11,10,10,11,3,8,10,8,10,8,8,10,2,8,6,10,10,3,11,10,10,6,10,3,10,2,2,10,8,11,6,3,6,10,10,11,3,10,11,8,2,6,10,3,6,8,3,3,6,8,6,10,11,8,3,3,6,6,3,2,2,2,2,2,2,2,2,2,2,2,2,3,10,10,10,8,2,2,2,8,10,10,11,8,8,8,10,10,8,8,10,3,11,8,2,3,8,8,10,11,10,6,2,10,8,3,8,3,3,11,2,11,3,10,11,3,10,3,6,8,6,11,3,6,10,10,10,10,10,3,2,2,6,10,8,8,10,6,2,2,2,11,10,2,10
Library,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Prep Batch,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
